Puzzle #,Puzzle Name,Eterna ID,Secondary Structure
1,Simple Hairpin,20111,(((((......)))))
2,Arabidopsis Thaliana 6 RNA - Difficulty Level 0,215430,(((((((....(((...........)))((((((((..(((((((((((((((((((...(((((......))))).)))))).)))))))))))))..))))))))..)))))))
3,Prion Pseudoknot - Difficulty Level 0,15819,((((((.((((....))))))).)))..........
4,Human Integrated Adenovirus - Difficulty Level 0,15886,((((((((((((((.((((((...........((((((((((((.....((((((((....(((((((((((((........))))))))))....))))))))....))))))....)))))...((((((.......))))))))))............)))))).))))....))))))...))))...
5,The Gammaretrovirus Signal - Difficulty Level 0,15847,..(.(..((((((....))))))..).)......((((..(((.(((((((((....)))))....)))))))))))..((((((((....))))))))..
6,Saccharomyces Cerevisiae - Difficulty Level 0,17811,(((((((((((........)))).((...............))....(((((.......))))))))))))....(((((((..((((........))))(((.............)))....(((((.......))))))))))))....(((((((..((((........))))((((((.......))))))....(((((.......))))))))))))....(((((((..((((........))))((((((.......))))))....(((((.......))))))))))))....(((((((..((((........))))((((((.......))))))....(((((.......))))))))))))....
7,Fractal 2,13687,.....((((((((...((((((((((..((((..........))))..((((..........))))..((((..........))))..))))))))))...((((((((((..((((..........))))..((((..........))))..((((..........))))..))))))))))...((((((((((..((((..........))))..((((..........))))..((((..........))))..))))))))))...)))))))).....
8,G-C Placement,1074756,((((...)))).
9,The Sun,13840,(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))
10,Frog Foot,426871,..........((((....))))((((....))))((((...))))
11,InfoRNA test 16,816170,((((((.((((((((....))))).)).).))))))
12,Mat - Martian 2,399912,((((....))))...(((((((..(((((((.......))))))))))))))...((((((((......(((((((.(((((((.......))))))))))))))...((((((((((((((.......))))))).)))))))......))))))))...((((((((((((((.......)))))))..)))))))...((((....))))
13,square,756881,((((((((((((((((((((((((((...))))))....)))))))....))))))....)))))))
14,Six legd turtle 2,446042,.....((...((....))...((....))...((....))...((....))...((....))...((....))...))....................
15,Small and Easy 6,727172,(((((.....))..((.........)))))
16,Fractile,443196,............((....))...((...((....))..((...((....))...))..((....))...))..((....))........................
17,Six legd Turtle,445593,.....((....((....))....((....))....((....))....((....))....((....))....((....))....))....................
18,snoRNA SNORD64,1427482,((((((.....(((....(((...(((((.............)))))....)))..)))..))))))
19,Chalk Outline,461984,.....((((.(((((....)).))).(((.(((....)))))).((((((....)).)))).(((((....))).)))))).......................
20,InfoRNA bulge test 9,775904,(((((((.(.(.(.(((((((....)))))))))))))))))
21,Tilted Russian Cross,601331,.....((((((((....))))((((.((((....))))(((((....))))).((((....))))))))((((....))))))))....................
22,This is ACTUALLY Small And Easy 6,3084759,................................................................................................................................................................................................................................................................................................................................................................................................................
23,Shortie 4,997382,((....)).((....))
24,Shape Test,472029,.....(.((((..(((((........)))))..(((.(((.(((((.....))))).((((....)))).))))))..)))).)....................
25,The Minitsry,427350,(((.....(((.....(((.....(((.....(((........))).))).))).))).)))
26,stickshift,852950,..((((((((.....)).))))))..
27,U,426038,.....(((((.(.(.((.(.(((((((((....))))))))))))))))))).....
28,Still Life (Sunflower In A Vase),404191,...((((..(((((.....)))))..(((((...)))))..(((((.....)))))..(((((...)))))..(((((.....)))))..(((((.....))))).((((((((((((((((((((((((((((......))))).(((((.............((((.........................................)))).............)))))(((((....))))).)))))))))))))))))))))))..(((((.....)))))..(((((.....)))))..(((((.....)))))..(((((.....)))))..(((((....)))))..(((((.....))))).))))...
29,Quasispecies 2-2 Loop Challenge,552663,.....((((((((..((((....))))..)))).((((..(...)..)))).((((..(..(((.....)))..)..))))))))....................
30,Corner bulge training,1452086,.(((((((((((...)))))....)))))).
31,Spiral,535777,.....((((.((((((.(((.(((((.((((.((((.((.((.((.((.((.((.....)))))))))))))))))))))))))))))))))))))).....
32,InfoRNA bulge test,736567,.............................((((......((((....((((...((((..((((.((((.....)).)).)).))..)).))...)).)).....)).))......)).)).
33,Worm 1,1569272,.......(.(.(.(.(.((.((.(....).)).)).).).).).)
34,just down to 1 bulge,742530,.....((((.(((((....))))).(((....))).)).))....((((.(((....))).(((....))).))))....................
35,Iron Cross,530172,.(((.(((...(((.(((...))).(((....))).)))...(((.(((....))).(((...))).)))...(((.(((....))).(((...))).)))...))).(((...))).)))..
36,loops and stems,1487670,.....(((((((...((((...((((...((((.........(((((............)))))...))))....((((..........))))...))))...(((........)))...))))..((......))...))))))).....
37,Water Strider,460087,.....((.((..(((((.(((....)))(((....)))))).....((((((....)))(((....))).)))))..)).)).....................
38,The Turtle(s) Move(s),401904,...((....))....(((((((((.........)))))))))....((((.....)))).....(((....)))...(((((.......)))))....(((...((....)).....(((....)))....((((((.......))))))....(((....))).....((((((....(((.......)))..(((........)))...(((((......)))))...((((.....))))..)))))).........((....)).....((....))......(((((..........)))))......)))
39,Adenine,2463193,(((((.((((((.((((((.((((((.((((((.((((((....((((((......)))))).)))))).(((((...(((((((...)))))))))))).)))))).((((((((((((...)))))))...))))).))))))....))))))....))))))....)))))
40,Tripod5,903842,..((((((((.....))))((((.....))))))))..
41,Shortie 6,997391,((....)).((....)).((....)).((....))
42,Runner,888104,.....((((.((((.....((((...)))).))))...(((..((((((...)))...)))((((((...)))...))).)))...(((...(((....))).))).)))).....
43,Recoil,969361,.....(((((..((..((..(((..(((..((..((...)).)).))).))).)).)).))))).....................
44,[CloudBeta] An Arm and a Leg 1.0,2320259,.....(((.(((((....)).)))(((.((....))))).)))....................
45,[CloudBeta] 5 Adjacent Stack Multi-Branch Loop,2322879,(((((((((....))))(((((....)))))(((((....)))))((((....))))))))).
46,Triple Y,481598,.....((((((((((((....))))((((....))))))))((((((((....))))((((....))))))))))))....................
47,Misfolded Aptamer,683941,((((......(((((...))).((....)).........)).....))))
48,Flower power,1884959,.....((((((((...)))).((((((((...))))..((((...))))..((((...)))))))).((((...))))))))....................
49,Kudzu,458872,.....(((.(..(.(((((.((((.((...)))).))))((((((...)).))))..(((...)))...))).)..).)))....................
50,"1,2,3and4bulges",737448,.....((((.(((((....))....))).(((....))).)).))....((((.(((....)...)).(((....))).))..))....................
51,medallion,1398974,((((((.((((((....)))))).(((....))).(((....))).((((((....)))))).(((....))).((((((....)))))).(((....))).(((....))).((((((....)))))).(((....))).((((((....)))))).(((....))).(((....))).((((((....)))))).(((....))).((((((....)))))).(((....))).(((....))).((((((....)))))).(((....))).((((((....)))))).(((....))).(((....))).((((((....)))))).))))))
52,[RNA] Repetitious Sequences 8/10,3144144,.((......((......))......((......((......))......((......))......))......)).....
53,Documenting repetitious behavior,3194980,.......((.........((.........((.........((.........((.........((.........((.........((.........((.........((.........((.........((.........((.........((.........((.........((.........((.........((.........)).........)).........)).........)).........)).........)).........)).........)).........)).........)).........)).........)).........)).........)).........)).........)).........)).........))......
54,7 multiloop,2569877,(((((((((....)))))(((((....)))))(((((....)))))(((((....)))))(((((....)))))(((((....)))))))))
55,Kyurem 7,550435,.....((((((((((....)))(((....((((.(((.....))).((((((......)))...))))))))))))).))))....................
56,JF1,458607,(((((((((((.(((((..(((((....((((((..(((((...(((((..((((((.((((((((((((((....))))))))))))))..(((....))).(((((((((....)))))))))..(((((....))))).)))))).))))).))))).))))))...((((((((.....))).)))))..((((((((((((((((((((((((....)))))))))))))).))))))))))...(((((......)))))((((((((((....))))))))))...((((....))))..)))))..))))).((((.(((.(((....)))))))))).(((((((((....))))).)))).)))).))).))))...
57,multilooping fun,2493932,((.(..(.(....).(....).)..).(....).))
58,Multiloop...,4238942,((((.((((.(((....))).(((....))).(((....))).(((....))).(((....))).(((....))).)))).(((((......)))))(((....)))))))
59,hard Y,422821,.....((((((.((((((((....))))))).)))((((((((((....)))))))))))))).....
60,Mat - Elements & Sections,479654,.....((((.(...(.((((.(.((((.((.((((.((.(((....))).).)))))).)))))....).)))).)...).))))....................
61,Chicken feet,457731,.....((.((.((...)).((...))...)))).((.((.((...)).((...))...)))).....
62,Bug 18,970812,.((.((.((.((..((..((.((...))..)).)).))..))..))....)).
63,Fractal star x5,3676828,.....((((((((..((((....))))..((((....))))..((((....))))..((((....))))..)))))))).....((((((((..((((....))))..((((....))))..((((....))))..((((....))))..)))))))).....((((((((..((((....))))..((((....))))..((((....))))..((((....))))..)))))))).....((((((((..((((....))))..((((....))))..((((....))))..((((....))))..)))))))).....((((((((..((((....))))..((((....))))..((((....))))..((((....))))..)))))))).....
64,Crop circle 2,448277,((...((....((.....((.........((..............................))...............)).........)).......))....))....
65,Branching Loop,459030,.(((((........)((((....))))..)))).......
66,Bug 38,1005956,.((.((.((..((.(...).)).))..))....)).
67,Simple Single Bond,457023,......(.........((((.....)))).........)......................
68,Taraxacum officinale,1887121,((((....).))).((((....).))).((((....).))).((((....).))).((((....).))).((((....).))).((((((((((((((((((((((...)))).))))))).(((((..((((((((((..(((((((...))))))).))))))))))((((.((((((...)))))))))))))))...))))))))))).((((....).))).((((....).))).((((....).))).((((....).))).((((....).)))
69,Headless Bug on Windshield,461805,.((.((.....(((((...((.(((.........................))).))...))).))...)).)).(((..(((..((.......((....)).......)))))......))).(((((.......(((..((..(((..((.(((...............)))..))..)))..)).)))..))..))).
70,Pokeball,2418507,...(((((((....((..((..(((..((..((..((..((..((..((...)).))..)).)).))..)).))).)).)))))))))........(((((((....((..((..(((..((..((..((..((..((..((...)).))..)).)).))..)).))).)).)))))))))...
71,Variation of a crop circle,972844,....((....((....((....((..((..((...))..))....))......)).......)).........)).............
72,Loop next to a Multiloop,472262,..((((((((.......(.((((((....)))))).(((((((....))))))).).......))))))))..
73,Snowflake 4,415914,((((...))))(((((((....))(((((..(((((((....))(((((((((...))))..((((...)))))))))((....)))))))..(((((((....))(((((((((...))))..((((...)))))))))((....)))))))..(((((((....))(((((((((...))))..((((...)))))))))((....)))))))..(((((((....))(((((((((...))))..((((...)))))))))((....)))))))..(((((((....))(((((((((...))))..((((...)))))))))((....)))))))..)))))((....)))))))((((...))))
74,Mat - Cuboid,450940,(..((....((..((....((..((....(..((..((....((..((..((....(..((..((..((....((..((..((..((....((..((..((..((..((....((..((..((..((..((....((..((..((..((..((..((....((..((..((..((..((..((....((..((..((..((..((..((......))..))..))..))..))..))))..))..))..))..))..))))..))..))..))..))..))))..))..))..))..))))..))..))..))..))))..))..))..))))..))..))..)))..))..))))..))..)))..))))..))))..)
75,Misfolded Aptamer 6,708346,......(((......((((..(....(((........)))....).....)))).......)))...........
76,Snowflake 3,415093,(((((....)).((((((....)))..((((.((((..(((....)))(((.((....))(((...)))((....)).)))(((....)))..)))).((((..(((....)))(((.((....))(((...)))((....)).)))(((....)))..)))).((((..(((....)))(((.((....))(((...)))((....)).)))(((....)))..)))).((((..(((....)))(((.((....))(((...)))((....)).)))(((....)))..)))).((((..(((....)))(((.((....))(((...)))((....)).)))(((....)))..)))).))))..(((....)))))).((....)))))
77,Hard Y and a bit more,443518,.....(((((((.(((((....)))).)))(((((.((..((((....))))..(((((......)))))..)).))))))))))....................
78,Mat - Lot 2-2 B,451142,(..(((..((((..((....((..((((....))....))..))))..))....))..))((..((..((..((((..((....((..((((..((....((....))))..))....))..))))..))((..((..((....))((..((((..((....((..((((....))....))..))))..))....))..))))..))..))..))((..((....((..((((..((....((....))))..))....))..))))..))))..))..)..)
79,Shapes and Energy,480112,......(.((((.((((....(...((((.(....).))))...)))))..((......((((....)))))).)))).).....................
80,Spiral of 5's,474410,(....(((((...(((((...(((((....(((((...(((((...(((((..(((((....(((((...(((((...(((((..(((((...(((((...(((((..(((((...(((((..(((((..(((((..(((((..(((((.(((((.((((((((((.....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....))))).....).....
81,Campfire,547104,....((((..(((((..((((..((((.....))))((((((...))).)))))))((((((.((.((.(((((....)).)))))))(((((.((.((.((....))))))((((.(((....)).)).)))..)).)))))).))))))))(((.(((.(((.((((....))))))))))((((((((...))).)).))).)))))))
82,Anemone,3058638,...((((((....))))))(((((....)))))((((((....))))))(((((....)))))((((((....))))))(((((....)))))(((((....)))))((((((....)))))).(((((....)))))((((((....))))))(((((....)))))((((((....))))))(((((....)))))((((((....))))))
83,Fractal 3,460166,.....((((.(((.((....))((....)).))).(((.((....))((....)).))).(((.((....))((....)).))).(((.((....))((....)).))).)))).....
84,Kyurem 5,545680,.....((((((((((....)))(((....((((((((...(((.....)))))))(((......))).))))))))))..))))....................
85,Snowflake Necklace ( or v2.0 ),624517,(((((((((((((((.(((((.((.....)).((.....)).((.....)).((.....)).((.....)).))))).(((.....))).(((((.((.....)).((.....)).((.....)).((.....)).((.....)).))))).(((.....))).(((((.((.....)).((.....)).((.....)).((.....)).((.....)).))))).(((.....))).(((((.((.....)).((.....)).((.....)).((.....)).((.....)).))))).(((.....))).(((((.((.....)).((.....)).((.....)).((.....)).((.....)).))))).)))))))))))))))
86,Methaqualone C16H14N2O Structural Representation,4891834,.......((((.((((.(((.(((....))).(((.(((....))).(((.(((....))).(((.(((....))).(((.......))).))).))).))).))).(...).)))).((((...((.(((...((...))........))).(((.(((....)))(((....)))(((....)))))).))...((((.(...).(((.(((.(((.(((.(((....(((....))).))).(((....))).))).(((....))).))).(((....))).))).((((((....)))(((....))).(((....)))))).))).))))...)))).)))).......
87,Cat's Toy 2,474564,....((((((((....((..(...................)..((...((....))...((....))........))......))))))))))....
88,Zigzag Semicircle,477402,....((((((((.(....)).).).)))))....
89,Short String 4,505782,......((.((..((..(...(.((.((....))))..)...(.((..((....))..))..)...).))..)))).....................
90,Gladius,944766,(....)..(....(...(..(.(..(...(((.(((...((((....)))).(((((..(.(((..(.((((..(.((((..(.((((((((.((((((.(((((.((((.((((..((((...)))).))).)))))).))))).)))))).)))))))..).))))..).))))..).)))..).))))).)))...(((.(((((.(..(((.(..((((.(..((((.(..(((((((.((((((.(((((.((((((.(((.((((((....))))))..)))).)))).))))).)))))).)))))))).)..)))).)..)))).)..))).)..))))).((((....))))...))).)))...)..).)..)...)....)..(....)
91,Thunderbolt,908660,((..(((((........(.((..((.(.....(....).((((((((.........((......((((.....))))......))...((..((.......(..(......)..)..((..((.....(....).((((.....(((.....(..((.(...).))..).....))).((((...(.......(..(.((...)).)..).......)...))))........)))).....((((((...)))))).))..))...........))..)).........(..((....)((((((.....(........).....))))))..)..)...))))))))........).))..)).).....(.......).)))))..)).
92,Mutated chicken feet,787674,.......((.((.((...)).((...))...)))).((.((.((...)).((...))...)))).((.((.((...)).((...))...)))).......
93,Chicken Tracks,965314,........(((((((((((....))))..((((....))))..((((....)))))))))))..(((((((...))))..((((...))))..((((...))))))).........
94,Looking Back Again,726696,(((..(((((((.....((((((...)))))).))))..((((((..(((...)))))).(((((...((((....))))....)))))..)))..)))..(((((((.....(((((....)))))......)))((((((((((...)))))(((((...)))))((((((((..(..(..(..(..(..((((....))))..).)..))..).))(((....)))..))))))...))))))))).(((((.((((......(((((((........((((.....))))))))...))).))))((((......((((((((....))))))..(((((...)).(((((...)))))..)))))....)))))))))...)))
95,Multilooping 6,3526038,..(((((((((((((....)))))(((((....))))))))((((((((....)))))(((((....)))))))))))))..
96,Cesspool,911841,(..(..(....)..(((..(.(.(((...)))..)..)..)))..(..(....)..).(..(....)..).....(....)..)..)..(..(..(....)..(((..(.(.(((...)))..)..)..)))..(..(....)..).(..(....)..).....(....)..)..)..((..(..(....)..(((..(.(.(((...)))..)..)..)))..(..(....)..).(..(....)..).....(....)..)..))..((..(..(....)..(((..(.(.(((...)))..)..)..)))..(..(....)..).(..(....)..).....(....)..)..))
97,Hoglafractal,1632102,..(.((..(((((....(((((......))))))))))((((...((((.....))))))))(((..(((....)))))).(((...((((...((((......))))))))(((..(((.....))))))((.((....)))).((((....(((..(((......))))))((.((.....))))(((....))).(((((.....((.((......))))(((.....)))((....)).((((((......(((......)))((.....))...(((((((...))))))).......))))))......))))).....))))....)))...))..)...(.((.((((....((....))((....))((((((...)))))).)))))).)
98,Bullseye,965280,...(((((((...))))..((((...))))..((((...)))))))........(((((((...))))..((((...))))..((((...)))))))........(((((((...))))..((((...))))..((((...)))))))........(((((((...))))..((((...))))..((((...)))))))...
99,Shooting Star,913357,(((((((((((((((((...(.(..((.(((.(((.((....).))).)))).).)..))..))))))).(((((..(.(..((.(((.(((((.(((.((((.((....).)))).))))).))).)))).).)..))..)(....)..))))(((((((((...))))).(((((...)))))(.(....).).)))).)))).((((.((((...(((((((...))))))).(((((...)))))))))(((((((...))))))).(((((...)))))))))((((..(....)(..(..(..(.(.(((.((((.((....).)))).)))).)..)..).)..))))).)))))).
100,Teslagon,6050904,......((.......((.((.......((.((...............)).........((...............)).)).......)).((.......((...............)).......)).((.......((.((...............)).........((...............)).)).......)).((.......((...............)).......)).((.......((.((...............)).........((...............)).)).......)).((.......((............((...............)).)).......)).)).......))......
